topic,specialty,guideline_bodies,practice_guideline_mcqs,latest_guideline_year
"Calcium Pyrophosphate Deposition Disease","Rheumatology","EULAR 2023 [3]; EULAR 2023 [2]; EULAR 2023 [1]",4,
"Renal Osteodystrophy","Rheumatology","",4,
"Osteoporosis fracture prevention pharmacotherapy","Rheumatology","NICE 2026 — Metformin reduces bone resorption and bone forma; NICE 2026 — Creatine monohydrate supplementation may increas; NICE 2026 — Low-dose GC (≤7.5 mg prednisone/day) associated",0,
"Avascular Necrosis of Bone","Rheumatology","",4,
"Osteopetrosis","Rheumatology","",4,
"Familial Mediterranean Fever","Rheumatology","EULAR/PReS 2024; EULAR 2024",4,
"TNF Receptor-Associated Periodic Syndrome","Rheumatology","EULAR/ACR Points to Consider 2023",0,
"Hyper-IgD Syndrome","Rheumatology","",4,
"Cryopyrin-Associated Periodic Syndromes","Rheumatology","EULAR/ACR [1]; EULAR/ACR [2]",4,
"Septic Arthritis","Rheumatology","",4,
"Prosthetic Joint Infections","Rheumatology","",4,
"Lyme Arthritis","Rheumatology","",4,
"Kawasaki Disease","Rheumatology","",4,
"Microscopic Polyangiitis","Rheumatology","",4,
"Chronic Myeloid Leukaemia","Haematology","",4,
"Complex Regional Pain Syndrome","Rheumatology","",4,
"Osteoarthritis","Rheumatology","EULAR 2018, KNGF 2018; ACR/Arthritis Foundation 2019, EULAR 2018, KNGF 2018",4,
"Rheumatoid Lung Disease","Rheumatology","ERS/EULAR [1]; ERS/EULAR [2]",0,
"IgG4-Related Disease","Rheumatology","",4,
"Pyoderma Gangrenosum","Rheumatology","",4,
"Macrophage Activation Syndrome","Rheumatology","EULAR/PReS",4,
"Anti-TNF Alpha Therapies","Rheumatology","",4,
"Rheumatoid Arthritis","Rheumatology","EULAR 2026 (G5) — Consider genetic testing for MTHFR 677T al; EULAR 2026 (G3) — Tocilizumab biosimilars demonstrate equiva; EULAR 2026 (G2) — Low-dose glucocorticoid treatment (≤7.5 mg",0,
"Fibromyalgia Syndrome","Rheumatology","",4,
"Primary Myelofibrosis","Haematology","",4,
"Septic shock: vasopressor selection and targets","ICU / Critical Care","",4,
"Reactive Arthritis","Rheumatology","BASHH 2019",4,
"Polyarteritis Nodosa","Rheumatology","",4,
"IgA Vasculitis","Rheumatology","KDIGO 2025 IgAN guideline [1]; KDIGO 2025 IgAN guideline [2]",4,
"Sickle Cell Disease","Haematology","",4,
"Microangiopathic Haemolytic Anaemia","Haematology","",4,
"Haemophilia A and B","Haematology","",4,
"Disseminated Intravascular Coagulation","Haematology","",3,
"Immune Thrombocytopenia","Haematology","",4,
"Haemolytic Uraemic Syndrome","Haematology","",4,
"Prothrombin G20210A Mutation","Haematology","",4,
"Heparin-Induced Thrombocytopenia","Haematology","",4,
"Myelodysplastic Syndromes","Haematology","NCCN [3]",4,
"Aplastic Anaemia","Haematology","",4,
"Pure Red Cell Aplasia","Haematology","",4,
"Acute Myeloid Leukaemia","Haematology","",4,
"Acute Lymphoblastic Leukaemia","Haematology","",4,
"Hodgkin Lymphoma","Haematology","",4,
"Diffuse Large B-Cell Lymphoma","Haematology","",4,
"Follicular Lymphoma","Haematology","NCCN [1]; NCCN [5]; NCCN [4]",4,
"Mantle Cell Lymphoma","Haematology","NCCN [1]; NCCN [3]; NCCN [4]",4,
"Multiple Myeloma","Haematology","NCCN 2023",4,
"Smouldering Multiple Myeloma","Haematology","ASCO-Ontario Health (Cancer Care Ontario) Living Guideline [",0,
"Lumbar Spinal Stenosis","Rheumatology","",4,
"Burkitt Lymphoma","Haematology","",4,
"Transfusion-Associated Circulatory Overload","Haematology","",4,
"Massive Transfusion Protocols","Haematology","",4,
"Platelet Refractoriness","Haematology","",4,
"Iron Deficiency Anaemia","Haematology","NICE 2026 (G1) — Iron supplementation confers small but mean",0,
"Autoimmune Haemolytic Anaemia","Haematology","",4,
"Immune-Related Adverse Events","Oncology","NCCN Guidelines: Management of Immunotherapy-Related Toxicit; EULAR points to consider for the diagnosis and management of",4,
"Immune Checkpoint Inhibitors","Oncology","NCCN Guidelines® Insights [1], AGA Clinical Practice Update; NCCN Guidelines® Insights [1]",4,
"Small Cell Lung Cancer","Oncology","ASCO-SNO-ASTRO 2022; NCCN 2023",4,
"Gastric and Gastroesophageal Junction Cancer","Oncology","ASCO Guideline [4]",0,
"Pancreatic Cancer","Oncology","",4,
"Hepatocellular Carcinoma","Oncology","EASL 2017 (HBV Guidelines); EASL 2022 (Haemochromatosis Guidelines); EASL 2018 (HCC Guidelines)",4,
"Biliary Tract Cancer","Oncology","ASCO; ESMO",4,
"Anal Canal Cancer","Oncology","Brazilian Society of Surgical Oncology, NCCN; NCCN",4,
"Gastroenteropancreatic Neuroendocrine Tumours","Oncology","",4,
"Antibody-Drug Conjugates","Oncology","ASCO-College of American Pathologists",4,
"Gastrointestinal Stromal Tumour","Oncology","",4,
"Renal Cell Carcinoma","Oncology","ASCO 2020",4,
"Testicular Germ Cell Tumours","Oncology","",4,
"Castration-Resistant Prostate Cancer","Oncology","NCCN; EAU-EANM-ESTRO-ESUR-ISUP-SIOG; ASCO; NCCN; ASCO",4,
"Ovarian Cancer","Oncology","NCCN; ESMO Precision Medicine Working Group",4,
"Malignant Pleural Mesothelioma","Oncology","SEOM 2020, NCCN 2016; NCCN 2016",4,
"Cervical Cancer","Oncology","",4,
"Gestational Trophoblastic Neoplasia","Oncology","",4,
"Endometrial Cancer","Oncology","NCCN Guidelines for Uterine Neoplasms",4,
"Nasopharyngeal Carcinoma","Oncology","",4,
"Cutaneous Squamous Cell Carcinoma","Oncology","",4,
"Basal Cell Carcinoma","Oncology","ESMO 2026 [G7] — PDT (ALA/MAL) pooled CR rate 0.88 (95% CI:; ESMO 2026 [G4, G5] — BF-200 ALA-PDT CR 0.90; no significant; NICE 2026 [G2] — DERM sensitivity 96.1% for malignant lesion",0,
"Merkel Cell Carcinoma","Oncology","NCCN; ESMO-EURACAN",4,
"Cutaneous T-Cell Lymphoma","Oncology","",4,
"Glioblastoma Multiforme","Oncology","",4,
"Primary CNS Lymphoma","Oncology","",4,
"Brain Metastases","Oncology","ASCO-SNO-ASTRO Guideline",4,
"Soft Tissue Sarcomas","Oncology","British Journal of Cancer [1], NCCN [2], SEOM [5]",4,
"Ewing Sarcoma","Oncology","",4,
"Metastatic Spinal Cord Compression","Oncology","",4,
"Chemotherapy Extravasation","Oncology","",4,
"Chemotherapy-Induced Nausea and Vomiting","Oncology","",4,
"Cancer Cachexia","Oncology","",4,
"Malignant Bowel Obstruction","Oncology","",4,
"Transfusion-Related Acute Lung Injury","Haematology","",4,
"Bladder Cancer","Oncology","NCCN Guidelines [4]; AUA/SUO Guideline [3], EAU Guidelines [2], NCCN Guidelines [",4,
"Neutropenic Sepsis","Haematology","IDSA 2021 — Administer antimicrobials within one hour for su",0,
"Fertility Preservation in Cancer","Oncology","ASCO Clinical Practice Guideline Update",0,
"Chronic Lymphocytic Leukaemia","Oncology","",4,
"Allogeneic Stem Cell Transplantation","Oncology","",4,
"Graft-Versus-Host Disease","Oncology","NCCN 2023",4,
"Sinusoidal Obstruction Syndrome","Oncology","",4,
"Relapsed and Refractory DLBCL","Oncology","NCCN",4,
"Primary Mediastinal B-Cell Lymphoma","Oncology","",4,
"T-Cell Lymphomas in Oncology","Oncology","NCCN [2]; NCCN [1]",0,
"Paroxysmal Nocturnal Haemoglobinuria","Haematology","",4,
"Thrombotic Thrombocytopenic Purpura","Haematology","",4,
"Minimal Change Disease","Nephrology","",4,
"Focal Segmental Glomerulosclerosis","Nephrology","KDIGO 2021",4,
"Membranous Nephropathy","Nephrology","KDIGO 2021 Guideline for the Management of Glomerular Diseas",4,
"Diabetic Nephropathy","Nephrology","",4,
"IgA Nephropathy","Nephrology","KDIGO 2025",4,
"Rapidly Progressive Glomerulonephritis","Nephrology","KDIGO 2025 IgAN guideline",4,
"Lupus Nephritis","Nephrology","EULAR 2019",4,
"Renal Hypertension: Secondary Causes","Nephrology","",4,
"Polycystic Kidney Disease: ADPKD","Nephrology","KDIGO 2025, BMC Nephrology 2019; KDIGO 2025",4,
"Polycystic Kidney Disease: ARPKD","Nephrology","BMC Nephrology, 2022; KDIGO 2025 [2]; KDIGO 2025 [3]; BMC Nephrology, 2022 [4]; KDIGO 2025 [1]",4,
"Alport Syndrome","Nephrology","",4,
"Fabry Disease","Nephrology","",4,
"Hypokalaemia","Nephrology","",4,
"Hyponatraemia","Nephrology","NICE/WHO 2026 [G2] — Hyponatremia prevalence in AECOPD is 19; NICE/WHO 2026 [G3] — Hyponatremia is the most prevalent elec; NICE/WHO 2026 [G1] — Hyponatremia is a potential contributin",0,
"Hypernatraemia","Nephrology","NICE 2026 — Hypertonic saline associated with 37% severe hyp; NICE 2026 — RCA in pediatric CRRT associated with hypernatre; NICE 2026 — Continuous hydrocortisone infusion not significa",0,
"Metabolic Alkalosis","Nephrology","",4,
"Metabolic Acidosis","Nephrology","",4,
"Renal Tubular Acidosis","Nephrology","",4,
"Hypomagnesaemia","Nephrology","",4,
"Peritoneal Dialysis: Principles and Adequacy","Nephrology","",4,
"Peritoneal Dialysis Peritonitis","Nephrology","",4,
"Continuous Renal Replacement Therapy","Nephrology","",4,
"Renal Transplantation: Workup and Donor Selection","Nephrology","",4,
"Chronic Allograft Dysfunction","Nephrology","",4,
"Post-Transplant Complications","Nephrology","",4,
"Renal Manifestations of Systemic Disease","Nephrology","KDIGO 2017; EULAR-SS Task Force Group 2017",0,
"Onco-Nephrology: Cancer Treatment and the Kidney","Nephrology","KDIGO Controversies Conference",4,
"Renal Manifestations of Vasculitis","Nephrology","EULAR 2022",0,
"Pregnancy and the Kidney","Nephrology","",4,
"Renal Biopsy: Indications and Interpretation","Nephrology","",4,
"Proteinuria: Assessment and Clinical Significance","Nephrology","",4,
"eGFR: Estimation and Limitations","Nephrology","",4,
"Interstitial Nephritis: Acute and Chronic","Nephrology","",4,
"Haemodynamic monitoring: arterial lines, CVP, PAC, PiCCO, FloTrac","ICU / Critical Care","",4,
"CKD-MBD: Mineral and Bone Disorder","Nephrology","KDIGO 2017, KDIGO 2009; KDIGO 2009, KDIGO 2017; KDIGO 2009, SLANH, Saudi journal of kidney diseases and tran",4,
"AKI: Diagnosis and Staging","Nephrology","KDIGO 2012",4,
"Cardiorenal Syndrome","Nephrology","",4,
"Hepatorenal Syndrome","Nephrology","",4,
"Nephrolithiasis: Uric Acid and Struvite Stones","Nephrology","",4,
"Nephrolithiasis: Calcium Stones","Nephrology","",4,
"Continuous renal replacement therapy: CVVH, CVVHD, CVVHDF modes and prescription","ICU / Critical Care","",4,
"Post-intensive care syndrome (PICS): cognitive, physical, and psychological sequelae","ICU / Critical Care","",4,
"Stress ulcer prophylaxis: indications and risk-benefit in critical illness","ICU / Critical Care","",4,
"Ventilator-associated pneumonia: bundle prevention, diagnosis, empiric treatment","ICU / Critical Care","",4,
"Central line-associated bloodstream infection (CLABSI): prevention and management","ICU / Critical Care","",4,
"Severe traumatic brain injury: ICP monitoring, cerebral perfusion pressure targets","ICU / Critical Care","",4,
"Neurocritical care: management of aneurysmal subarachnoid haemorrhage","ICU / Critical Care","",4,
"Brain death determination: clinical criteria and ancillary testing","ICU / Critical Care","",4,
"Abdominal compartment syndrome: diagnosis, decompressive laparotomy","ICU / Critical Care","ESICM 2018",4,
"Massive transfusion protocol: damage control resuscitation, ratio-driven blood products","ICU / Critical Care","",4,
"Environmental emergencies: heat stroke, severe hypothermia, drowning","ICU / Critical Care","",4,
"Refeeding syndrome: pathophysiology, prevention, phosphate management","ICU / Critical Care","Australasian Society of Parenteral and Enteral Nutrition (AS",4,
"Extubation failure: predictors, post-extubation stridor, NIV rescue","ICU / Critical Care","",4,
"Hypercapnic respiratory failure: COPD exacerbation, NIV criteria","ICU / Critical Care","",4,
"Tracheostomy: indications, timing, percutaneous vs surgical technique","ICU / Critical Care","",4,
"Cardiogenic shock: aetiology, diagnosis, and mechanical circulatory support","ICU / Critical Care","",4,
"Distributive shock: vasoplegic and anaphylactic shock","ICU / Critical Care","",4,
"Obstructive shock: tension pneumothorax, massive PE, tamponade","ICU / Critical Care","",4,
"Veno-arterial ECMO: indications, circuit management, weaning","ICU / Critical Care","",4,
"Adrenal insufficiency in critical illness: relative adrenal insufficiency, hydrocortisone","ICU / Critical Care","2017 SCCM/ESICM guidelines",0,
"Symptomatic bradycardia: atropine, temporary pacing, transcutaneous pacing","Cardiology","",4,
